ldb 1.2.2-1
ldns 1.7.0-3
less 487-1
lhasa 0.3.1-1
libaio 0.3.110-1
libao 1.2.2-1
libarchive 3.3.2-1
libass 0.13.7-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.6-1
libavc1394 0.5.4-3
libblockdev 2.12-1
libbluray 1.0.1-1
libbsd 0.8.6-1
libbytesize 1.0-1
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 0.94-2
libcdio-paranoia 10.2+0.94+1-2
libcdr 0.1.4-1
libconfig 1.6-2
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.5-1
libcurl-openssl-1.0 7.54.1-1
libdaemon 0.14-3
libdatrie 0.2.10-2
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdca 0.0.5-5
libdmx 1.1.3-1
libdrm 2.4.84-1
libdvbpsi 1:1.3.1-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libebml 1.3.5-1
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.4.3-1
libev 4.24-1
libevdev 1.5.7-1
libevent 2.1.8-1
libexif 0.6.21-3
libffi 3.2.1-2
libfontenc 1.1.3-1
libgcrypt 1.8.1-1
libglade 2.6.4-5
libglvnd 0.2.999+g4ba53457-2
libgnome-keyring 3.12.0-2
libgpg-error 1.27-1
libgudev 232-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-2
libiec61883 1.2.0-4
libimobiledevice 1.2.0-6
libinput 1.8.3-1
libjpeg-turbo 1.5.2-1
libkate 0.4.1-5
libksba 1.3.5-1
libldap 2.4.45-4
liblqr 0.4.2-1
libmad 0.15.1b-7
libmariadbclient 10.1.28-1
libmatroska 1.4.8-1
libmm-glib 1.6.10-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmtp 1.1.14-1
libndp 1.6-1
libnewt 0.52.20-1
libnftnl 1.0.7-1
libnghttp2 1.23.1-1
libnl 3.4.0-1
libnm 1.8.4-1
libnm-glib 1.8.4-1
libnotify 0.7.7-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libotf 0.9.13-2
libpcap 1.8.1-2
libpciaccess 0.13.5-1
libpgm 5.2.122-2
libpipeline 1.4.2-1
libplist 2.0.0-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.18.0-1
libpulse 11.1-1
libraqm 0.3.0-2
libraw1394 2.1.2-1
librevenge 0.0.4-1
librsvg 2:2.40.19-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libshout 1:2.4.1-3
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.15-1
libsoup 2.60.1-1
libsoxr 0.1.2-1
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-2
libssh 0.7.5-2
libssh2 1.8.0-2
libstemmer 0+337-2
libsynctex 2017.44590-7
libsystemd 235.8-1
libtar 1.2.20-3
libtasn1 4.12-2
libteam 1.26-1
libtermkey 0.20-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-2
libtiger 0.3.4-4
libtinfo 6-23
libtirpc 1.0.2-1
libtool 2.4.6+40+g6ca5e224-1
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2.1-1
libupnp 1.6.21-2
libusb 1.0.21-2
libusbmuxd 1.0.10-2
libutempter 1.1.6-2
libutil-linux 2.30.2-1
libuv 1.15.0-1
libva 1.8.3-1
libvdpau 1.1.1-2
libvisual 0.4.0-6
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.24-1
libwbclient 4.7.0-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwpd 0.10.2-1
libx11 1.6.5-1
libx264 2:148.20170521-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.3-1
libxfont2 2.0.2-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxml2 2.9.5+6+g07e227ed-1
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.30-2
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.2.0-1
licenses 20171006-1
linux 4.13.8-1
linux-api-headers 4.12.7-1
linux-firmware 20170907.a61ac5c-1
llvm-libs 5.0.0-1
lm_sensors 3.4.0-2
lmdb 0.9.21-1
logrotate 3.12.3-1
lprof 1.11.4.1-5
lsb-release 1.4-14
lua 5.3.4-2
lua52 5.2.4-2
lvm2 2.02.175-1
lxappearance 0.6.3-1
lxqt-build-tools 0.4.0-5
lz4 1:1.8.0-1
lzo 2.10-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.13-1
mariadb 10.1.28-1
mariadb-clients 10.1.28-1
markdown 1.0.1-6
mbedtls 2.6.0-1
mdadm 4.0-1
media-player-info 22-2
mesa 17.2.2-1
mime-types 9-1
miniupnpc 2.0.20170509-2
minizip 1:1.2.11-2
mkinitcpio 23-2
mkinitcpio-busybox 1.27.2-1
mobile-broadband-provider-info 20170310-1
mongodb 3.4.9-1
mongodb-tools 3.4.9-1
moreutils 0.61-1
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpv 1:0.27.0-2
msgpack-c 2.1.5-1
mtdev 1.1.5-1
mtools 4.0.18-4
mutt 1.9.1-1
nano 2.8.7-1
ncurses 6.0+20170902-2
neovim 0.2.0-2
net-tools 1.60.20160710git-1
netcdf 4.4.1.1-1
netctl 1.14-1
nethogs 0.8.5-2
nettle 3.3-1
network-manager-applet 1.8.4-2
networkmanager 1.8.4-1
nm-connection-editor 1.8.4-2
nmap 7.60-1
nodejs 8.7.0-1
notmuch-runtime 0.25.1-1
noto-fonts-emoji 20170825-2
npm 5.5.1-1
npth 1.5-1
nspr 4.17-1
nss 3.33-2
nvidia 387.12-2
nvidia-utils 387.12-1
nvm 0.33.2-1
ocl-icd 2.2.11-1
oniguruma 6.6.1-1
openal 1.18.2-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openslp 2.0.0-2
openssh 7.6p1-1
openssl 1.1.0.f-2
openssl-1.0 1.0.2.l-1
opus 1.2.1-1
orc 0.4.27-1
p11-kit 0.23.9-1
p7zip 16.02-3
pacaur 4.7.8-1
pacman 5.0.2-2
pacman-mirrorlist 20171017-1
pam 1.3.0-1
pambase 20171006-1
pango 1.40.12-1
pangomm 2.40.1-2
parity 1.8.1-1
parted 3.2-6
patch 2.7.5-1
pciutils 3.5.5-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
perl 5.26.1-1
perl-error 0.17025-2
perl-file-next 1.16-3
perl-io-string 1.08-10
perl-io-tty 1.12-6
perl-ipc-run 0.96-1
perl-test-pod 1.51-3
perl-time-duration 1:1.20-2
perl-timedate 2.30-4
phonon-qt5 4.9.1-4
phonon-qt5-vlc 0.9.1-2
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.2-1
pkgfile 17-1
polkit 0.113+29+g3272a98-1
polkit-qt5 0.112.0+git20160226-1
poppler 0.60.1-1
poppler-glib 0.60.1-1
poppler-qt5 0.60.1-1
popt 1.16-9
portaudio 190600_20161030-1
postgresql 9.6.5-1
postgresql-libs 9.6.5-1
potrace 1.14-1
powertop 2.9-1
procps-ng 3.3.12-1
protobuf 3.3.2-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-bluetooth 11.1-1
pulseaudio-ctl 1.64-1
pv 1.6.6-1
pygobject-devel 3.26.0-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
pyqt5-common 5.9-2
python 3.6.2-1
python-appdirs 1.4.3-1
python-attrs 17.2.0-1
python-beautifulsoup4 4.6.0-1
python-cached-property 1.3.1-1
python-cairo 1.13.3-1
python-chardet 3.0.4-1
python-colorama 0.3.9-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-decorator 4.1.2-1
python-docker 2.5.1-1
python-docker-pycreds 0.2.1-2
python-dockerpty 0.4.1-2
python-docopt 0.6.2-4
python-gobject 3.26.0-1
python-idna 2.6-1
python-jinja 2.9.6-1
python-jsonschema 2.6.0-1
python-markupsafe 1.0-1
python-packaging 16.8-2
python-pip 9.0.1-2
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-pypeg2 2.15.2-2
python-pyqt5 5.9-2
python-requests 2.18.4-1
python-setuptools 1:36.6.0-1
python-sip 4.19.3-1
python-six 1.11.0-1
python-texttable 1.1.0-1
python-urllib3 1.22-1
python-websocket-client 0.44.0-1
python-yaml 3.12-3
python2 2.7.14-1
python2-cairo 1.13.3-1
python2-dbus 1.2.4-2
python2-gobject 3.26.0-1
python2-gobject2 2.28.6-13
python2-setproctitle 1.1.10-2
python3-kitchen 1.2.5-1
qt3 1:3.3.8b-10
qt4 4.8.7-22
qt5-base 5.9.2-1
qt5-declarative 5.9.2-1
qt5-location 5.9.2-1
qt5-multimedia 5.9.2-1
qt5-script 5.9.2-1
qt5-sensors 5.9.2-1
qt5-speech 5.9.2-1
qt5-svg 5.9.2-1
qt5-tools 5.9.2-1
qt5-webchannel 5.9.2-1
qt5-webengine 5.9.2-1
qt5-webkit 5.212.0alpha2-5
qt5-x11extras 5.9.2-1
qt5-xmlpatterns 5.9.2-1
qutebrowser 1.0.2-1
randrproto 1.5.0-1
ranger 1.8.1-1
re2 20170801-1
readline 7.0.003-1
recode 3.6-10
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rfkill 0.5-2
rhash 1.3.5-2
rtkit 0.11+6+g417bb7d-1
rtv 1.17.1-1
rubberband 1.8.1-3
rust 1:1.21.0-1
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.4-1
sbc 1.3-1
schroedinger 1.0.11-3
scons 3.0.0-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-9
sdl2 2.0.6-2
sdl_image 1.2.12-4
sed 4.4-1
semver 5.4.1-1
shadow 4.5-2
shared-mime-info 1.9-1
sip 4.19.3-1
slang 2.3.1a-1
smbclient 4.7.0-1
snappy 1.1.4-1
solid 5.39.0-1
solidity 0.4.18-1
sonnet 5.39.0-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.20.1-1
srandrd 0.6.0-1
st 0.7-1
stack 1.5.1.20170916-9
startup-notification 0.12-5
sudo 1.8.21.p2-1
sysfsutils 2.1.0-9
syslinux 6.03-7
systemd 235.8-1
systemd-sysvcompat 235.8-1
taglib 1.11.1-1
talloc 2.1.10-1
tar 1.29-2
tcl 8.6.7-1
tdb 1.3.15-1
terminus-font 4.46-1
tevent 1:0.9.33-1
texinfo 6.5-1
thin-provisioning-tools 0.7.4-1
tk 8.6.7-2
tmux 2.6-1
tree 1.7.0-2
tslib 1.13-1
ttf-dejavu 2.37-1
tuxboot 1:0.8-1
tzdata 2017b-1
uchardet 0.0.6-1
udevil 0.4.4-1
udisks2 2.7.3-1
unibilium 1.2.1-1
unixodbc 2.3.4-2
unzip 6.0-12
upower 0.99.6-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.30.2-1
v4l-utils 1.12.5-1
vagrant 2.0.0-1
vagrant-substrate 726.d082972-2
vamp-plugin-sdk 2.6-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vigra 1.11.1-3
vim-runtime 8.0.1176-1
virtualbox 5.2.0-1
virtualbox-host-modules-arch 5.2.0-1
virtualgl 2.5.2-2
visual-studio-code 1.13.1-1
vivaldi 1.11.917.43-1
vlc 2.2.6-4
volume_key 0.3.9-3
w3m 0.5.3.git20170102-2
wayland 1.14.0-1
wayland-protocols 1.11-1
wd719x-firmware 1-3
webrtc-audio-processing 0.3-2
wget 1.19.1-2
which 2.21-2
wiredtiger 2.9.3-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-11
wxgtk-common 3.0.3.1-9
wxgtk2 3.0.3.1-9
